Unnamed: 0,Owner,Pending days,Month,Feedback Date,Customer,End Customer,Region,Country,Key Account Status,Sales manager,Business Unit & Product,First Tier Category,Second Tier Category,Third Tier Category,Third Tier+ Category,Description,Repeat times,Filling Machine,Packaging Material,Production Date,Format,Defect Pic,Issues category,Reject category,Reject detailed reason,Department,DIC,Status,MMI status,Latest Status,History,Sample tracking NO.,Sample received date,Root cause,Actions on filling machine,Corrective action,Person in charge,Action Due Date,Converting Machine,OA CAPA Process Number,Issue Claim Paper Date,Close Claim Paper Date,Claim no,Claim Qty(pcs),Claim Qty(details),Internal CAPA Issue Date,Internal CAPA Receive Date,Internal response time,External CAPA Submit Date,Response time,Feedback lead time,CRM case number,To do list,Hyperlink,Defect Code,Is the detection system detectable?,Claim amount
33,coco,0,feb,2024-02-22,coca cola icecek,coca cola icecek,eu-欧洲区,turkey,n,王伟 (tiger wang),ks aseptic i,printing_印刷,cap_straw_application_贴盖_管,cap_straw_application_贴盖_管,上机匹配性,吸管孔位偏，部分包材被capper plh相机拒绝了，可能是一些闪光问题,2,cap 30,041915/36040064,2023-05-31 00:00:00,1l-plh,unavailable,unaccepted,not follow instructions or improper usage,"after the lp engineer arrived on site, they found that the customer had already resolved the issue by adjusting the equipment and had also consumed the pm of the block. they communicated with the customer on how to eliminate this problem by adjusting the machine and agreed to provide relevant training to the customer. lp工程师到现场后，发现客户已经通过调整设备，将问题解决了，并且消耗了block的pm。同时跟客户沟通了如何通过调整机器来消除这个问题，会对客户端进行相关培训。",filling machine,filling machine,close,y,工程师3月19号拜访客户时，客户通过调整设备问题基本上都已经解决了。工程师向客户介绍了相机系统和plh的交互关系后，打消了客户疑虑。后续会对客户操作人员进行贴盖机相关培训，以便他们了解如何完美设置盖子。 问题已经解决，block的pm都已经消耗完，2024/3/26跟工程师沟通后close此case。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-21 00:00:00,2024-02-26 00:00:00,3.0,2024-03-08 00:00:00,11.0,267.0,unavailable,unavailable,unavailable,unavailable,False,0.0
34,coco,0,feb,2024-02-23,industrias panama,industrias panama,latam-拉美,panama,n,cesar sanchez,ks aseptic i,design_设计,design_设计_,image design 图案设计,外观类,出错版本号，客户想要l13105-v1，实际出货l10281-v1 生产时间： pefclmhkpan005423-->2023/12/11 pefclmhkpan005425-->2023/12/27 pefclmhkpan005700-->2024/1/25,1,"not related with filling machine, so no filling machine type",pefclmhkpan005423 pefclmhkpan005425 pefclmhkpan005700,2024-01-25 00:00:00,200m,unavailable,claim,unavailable,unavailable,sales,sales,close,unavailable,已完成赔付，客户无更多concern，可以close,unavailable,unavailable,unavailable,1. no pdf was attached for more detail description. 2.the request was not confirmed clearly. 3.same sku description used for different skus.,unavailable,"attached the pdf when send the scs to customer/clarify with the customer clearly whether it‘s a version update, a brand new version or a promotional version(only available for a period), and keep relevant evidence/work with customer to use different sku description for different skus, such as adding ‘promotion’ for promotional versions.",业助/销售/销售,20240228/20240228/20240228,unavailable,20240417-0429,2024-03-07 00:00:00,2024-04-17 00:00:00,pw202402003,1687500,unavailable,2024-02-23 00:00:00,2024-02-23 00:00:00,0.0,2024-02-26 00:00:00,1.0,29.0,unavailable,加到0428capa审核,unavailable,unavailable,False,15399.0
35,coco,0,feb,2024-02-23,sadafco jeddah,sadafco jeddah,isu-印度沙特阿联酋,saudi arabia,n,syed sajid shaik,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,顶盖被移除，底部栈板的最上面一层纸卷直接接触上面的栈板，导致磨损和脏污,9,"not related with filling machine, so no filling machine type",048975/33010021,2023-11-27 00:00:00,1ls-plh,unavailable,unaccepted,improper transportation or storage by customer,查了装柜照片，出货时每个栈板都加了顶盖，且中国海关未查验。在确认客户收到时铅封和我们出货时是否一致，是否经过客户端海关查验，怀疑是海关查验后未将顶盖放回,filling machine,filling machine,close,unavailable,"no further concern from customer, no compensation needed. this case can be closed after confirmed with sales.",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-23 00:00:00,2024-02-23 00:00:00,0.0,2024-02-28 00:00:00,3.0,88.0,unavailable,unavailable,unavailable,unavailable,False,0.0
36,coco,0,feb,2024-02-26,合肥伊利,合肥伊利,chn-中国区,china mainland,y,赵永波,ks aseptic i,printing_印刷,printing_unit_印组,dirt print 印刷脏版,外观类,重复性墨点不良，每2包有一包,1,tba22,048236/36060013/36060006 048234/36060006 048238/36040011,2023-10-31 00:00:00,250b,unavailable,claim,unavailable,unavailable,production,printing,close,unavailable,已完成赔付，2024/4/12跟销售确认可close。 价格保密，只是大概金额。开票时直接扣掉4卷的钱，不用cn。,unavailable,unavailable,unavailable,1.缺陷标准理解有偏差 2.原纸表面纸毛杂质,unavailable,根据伊利质量管控文件，制定培训资料内部培训/短期措施，伊利订单，生产前将原纸在印刷设备空跑一次除尘处理，材料进行2次除尘./长期措施：印刷设备再增加一台wandres除尘系统，使用双除尘系统。,徐亮/徐亮/徐亮,20240303/20240303/20241201,unavailable,20240227-0422,2024-02-29 00:00:00,2024-03-21 00:00:00,pn202402001,72000,72000,2024-02-26 00:00:00,2024-02-26 00:00:00,0.0,2024-02-29 00:00:00,3.0,118.0,00002149,加到0428capa审核,unavailable,unavailable,False,1713.6
37,celina,0,feb,2024-02-26,itc limited,itc limited,isu-印度沙特阿联酋,india,n,sandeep sharma,ks aseptic i,after_filling_灌装后,cap_straw_application_贴盖_管,plh opening issue plh开盖问题,上机匹配性,开盖开不了 客户第一次出货4个设计，第一个设计trail run出现开盖不良,1,tba8 machine/cap applicator 47,051239/33640004/33040014,2023-12-29 00:00:00,1ls-plh,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,客户调整贴盖机后问题解决,filling machine,filling machine,close,unavailable,2024/5/9-销售通知问题已解决，可以结案,competitor comparison plh manual cap application impression dimension measurement—the main factor pe gsm nip roller hardness pressure impression test 查询以上6个影响因素，只有亮边宽度和厂内手动开盖不良有相关性。进一步的验证数据显示betri盖子表现优于客户使用的helicap23。 同批次生产订单，部分在itc灌，部分在好时灌，好时的没有开盖不良，待工程师确认好时灌装的po和itc灌的po做对比,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20240421-0433,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-26 00:00:00,2024-02-28 00:00:00,2.0,2024-03-08 00:00:00,9.0,59.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
38,coco,0,feb,2024-02-27,pepsico russia,pepsico russia,cis-俄语区,russia,y,serov ilya,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,外观类,"2 reels were found damage issue. upper layer is damaged, outer packaging was not damaged. the reels are set aside.",10,"not related with filling machine, so no filling machine type",042442 34030003/34040008,2023-10-06 00:00:00,2ls-plh,unavailable,unaccepted,improper transportation or storage by customer,"此票货物属于铁运运输磨损，走销售商务赔偿 this damage was caused during transportation, we will compensate to customer by commercial",filling machine,filling machine,close,unavailable,部分破损，客户索赔了两整卷，建议客户移除破损部分后使用，lp赔偿移除部分,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-04 00:00:00,2024-06-21 00:00:00,pw202402006,120,120（lmksrus004275）,2024-02-28 00:00:00,2024-02-29 00:00:00,1.0,2024-02-29 00:00:00,2.0,144.0,lmksrus004275,unavailable,unavailable,unavailable,False,15.9852
39,coco,0,feb,2024-02-29,pepsico russia,pepsico russia,cis-俄语区,russia,y,serov ilya,ks aseptic i,lamination_复合,appearance_淋膜外观,guide belt mark 导边带印子,外观类,导边带印子,1,"not related with filling machine, so no filling machine type",049691/31010016,2023-12-10 00:00:00,500s,unavailable,unaccepted,normal phenomenon,"in lamination process, teflon guide belt must be used on both edge webs to prevent polymer sticking onto nip roller surface during production which may cause teflon belt mark formed on inner layer surface of packaging material. however, it’s cosmetic issue and will not affect package integrity.",filling machine,filling machine,close,unavailable,此为正常现象，已提供报告。客户无更多concern，可close。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-29 00:00:00,2024-02-29 00:00:00,0.0,2024-02-29 00:00:00,0.0,81.0,unavailable,unavailable,unavailable,unavailable,False,0.0
40,celina,0,feb,2024-02-29,四川菊乐温江厂,四川菊乐温江厂,chn-中国区,china mainland,n,俊轶 刘诚,ks aseptic i,during_filling_灌装中,forming_成型,dent 凹包,上机匹配性,dent 凹包,1,a3/flex,051643,2024-01-29 00:00:00,250b,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,调整灌装机后成型已改善：4#机存在凹包和底角不粘问题，通过调整图案校正值（100-180）、钟摆轮压力（50%-20%）、调整加热喷嘴位置等后问题基本解决。,filling machine,filling machine,close,y,工程师调整机器后（4#机存在凹包和底角不粘问题，通过调整图案校正值（100-180）、钟摆轮压力（50%-20%）、调整加热喷嘴位置等后问题基本解决)，达到客户允收范围内,2024-02-29：工程师调整机器后（4#机存在凹包和底角不粘问题，通过调整图案校正值（100-180）、钟摆轮压力（50%-20%）、调整加热喷嘴位置等后问题基本解决），达到客户允收范围内 2024-04-29：请问下现在菊乐那边关于凹包的情况，上次客户用到051643（bzw.01.01.00116 砖包（酸乐奶）260g），反馈有凹包，通过调整设备参数有所好转，凹陷程度在可接受范围内。 现在051907（bzw.01.01.00115砖包（纯牛奶）255g）客户用完了，有凹包的情况吗？客户使用前有去调机器吗？,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7500000,unavailable,2024-02-29 00:00:00,2024-02-29 00:00:00,0.0,2024-02-29 00:00:00,0.0,31.0,unavailable,unavailable,unavailable,unavailable,False,0.0
41,celina,0,mar,2024-03-02,idp cuchi,idp cuchi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,printing_印刷,printing_unit_印组,dirt print 印刷脏版,外观类,吸管孔右侧墨点，脏点,2,"not related with filling machine, so no filling machine type",044396/31610010,2023-08-03 00:00:00,125s,unavailable,claim,unavailable,unavailable,production,lamination,close,unavailable,待客户确认sorting费用及风险卷的物料费用,1共2个印刷大卷，复合将印刷卷的纸卷记录和实际卷弄反导致印刷的纸病未剔除。但是复合的纸病是看拉索来剔除，所以未受影响,unavailable,unavailable,复合三手一次性拿多张roll report单，纸卷序号混淆 机长未对roll report单印刷米长和lasor单的复合米长差异核对 诊病发现纸病单与印刷的不良留样单不一致，诊病员未找到缺陷样且未向前工段确认，直接报废覆盖印刷送诊米长后放行，导致流出,unavailable,复合对三手进行全员培训，要求三手每次只能拿一卷纸的report，在report 复合一栏和纸卷端面标记相同的序号，三手每次只允许收集满2张report递交主控台机长（按先后顺序摆放）/复合机机长需要核对roll report单印刷米长和lasor单的复合米长，存在差异需要确认。/分切诊病发现不良留样与印刷的缺陷留样不符，需要二诊，还未发现要向前工段确认，严格按运营缺陷送诊管理规范作业,李留权/李留权/胡正朋,20240311/20240311/20240311,unavailable,20240421-0434,unavailable,unavailable,unavailable,31010010不良：2140pcs 31010028不良：540pcs total：2680pcs,unavailable,2024-03-02 00:00:00,2024-03-07 00:00:00,3.0,2024-03-07 00:00:00,3.0,212.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,974.4
42,celina,0,mar,2024-03-04,dias,dias,cis-俄语区,russia,n,botova mariia,ks aseptic i,design_设计,design_设计_,image design 图案设计,外观类,l6133g-v2和l6134g-v1 的设计图案反了； l6142-v2出错 图生产时间： l6133g-v2：050250/70/72/78/79-->2023/12/18 l6134g-v1：050251/55/73/76/77-->2023/12/18 l6142-v2：052703--2024/2/15,2,"not related with filling machine, so no filling machine type",l6133g-v2：050250/70/72/78/79 l6134g-v1：050251/55/73/76/77 l6142-v2：052703,2024-02-15 00:00:00,200b,unavailable,feedback,unavailable,unavailable,design,design,close,unavailable,possiblity1：customer possiblity2：local sales possiblity3：design 客户接收我司多出的包材，仅要求改掉栈板标签即可。3/13已把新标签给业助,待近期所有设计错误的case系统研究如何避免出错后更新action,unavailable,unavailable,"design code was given to wrong sku tile: l6133g-v2 should be “apple light”,  l6134-v1 should be “apple”",unavailable,检查所有dias设计稿的barcode和设计稿的关系，确保一个设计稿一个barcode不重复./检查所有俄罗斯的设计稿的barcode和设计稿的关系，确保一个设计稿一个barcode不重复./前端印前设计协调员(daria) 在日常工作表中增加barcode。,angelina/angelina/daria,20240308/20240322/20240430,unavailable,20240421-0435,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-05 00:00:00,2024-03-06 00:00:00,1.0,2024-03-06 00:00:00,2.0,18.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
43,coco,0,mar,2024-03-06,brookside limited,brookside limited,mea-中东及非洲,uganda,n,sharma rajesh kumar,ks aseptic i,slitting_分切,dimension_分切尺寸,filling code position 灌装码到纸边位置,外观类,incomplete artwork finish on reel causing wastage and packs are un-conforming –total packs 2269 packs -15000packs reel(poor design),1,"not related with filling machine, so no filling machine type",043472/31010033,2023-07-07 00:00:00,250s,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"there is no extra printing at the edge of web1, while other webs have the extra printing. this is normal phenomenon and would not affect the sensor. the width and distance from creasing line to edge is within standard. no abnormalities were found at lamipak site.",filling machine,filling machine,close,unavailable,2024/7/18：赔付流程中 pm是可以使用的，建议客户继续使用。 已回复客户capa，待客户确认最新进度。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-27 00:00:00,2024-08-01 00:00:00,pw202403008,2269,2269,2024-03-07 00:00:00,2024-03-08 00:00:00,1.0,2024-03-12 00:00:00,4.0,243.0,lmduuga000847,unavailable,unavailable,unavailable,False,56.71
44,coco,0,mar,2024-03-06,lilongwe,lilongwe,mea-中东及非洲,malawi,n,sharma rajesh kumar,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,纸芯管变形,11,"not related with filling machine, so no filling machine type",041145/32030045,2023-05-06 00:00:00,250b,unavailable,unaccepted,improper transportation or storage by customer,"this is a slitting reel and without doctoring process, the reel went to packing line directly after slitting process, so there is low possibility that the core deformation happened before palletization in lamipak. the core deformation is so severe, so if this happened in lamipak warehouse or during transportation, there would be some impression or mark/damage on the outside packing layer, and customer should notice the abnormality before container unloading process. based on the above points, it can be concluded that there is low possibility that the core deformation happened in lamipak side.",filling machine,filling machine,close,unavailable,已完成赔付，客户无更多concern，可以close,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-20 00:00:00,2024-04-19 00:00:00,pw202403002,18000,unavailable,2024-03-06 00:00:00,2024-03-07 00:00:00,1.0,2024-03-11 00:00:00,3.0,305.0,unavailable,unavailable,unavailable,unavailable,False,484.1532
45,coco,0,mar,2024-03-06,abico-tha,4 care,gka&sea-大客户及东南亚,thailand,y,朱骁磊(frank zhu),ks aseptic i,printing_印刷,printing_unit_印组,ink fading 油墨褪色,外观类,褪色,1,"not related with filling machine, so no filling machine type",046860 35030001/35050002/35030003/35050004,2023-10-07 00:00:00,200s,unavailable,unaccepted,improper transportation or storage by customer,"after removing 20pcs, the internal pm is okay. the order 046859, from the same mother roll, shows no fading issues. there were no ink shortage alarms during the production process, and the ink remained within the standard range. from the warehouse scene photos, it can be seen that sunlight directly shines on some areas of the reels. it is suggested that clients store them away from light. for this batch of 4 reels, continue using them after removing the faded portions. 剥除20pcs后内部包材ok，来自同一母卷的拼版的另一工单046859无褪色现象；生产过程中无缺墨报警，油墨在标准范围内；仓库现场照片可以看到，阳光能直接照到部分区域的纸卷上。建议客户端储存时避光，这次的4卷，移除褪色部分后继续使用。",filling machine,filling machine,close,unavailable,3/26跟销售确认过客户无更多concern，可close。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-06 00:00:00,2024-03-07 00:00:00,1.0,2024-03-07 00:00:00,1.0,151.0,unavailable,unavailable,unavailable,unavailable,False,0.0
46,coco,0,mar,2024-03-06,dairy gold,dairy gold,mea-中东及非洲,zambia,n,sharma rajesh kumar,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,纸芯管变形 034556/31080296-->2022/11/8 030875/31010009/31070039/31080016-->2022/7/27 031557/32040012/31020034--2022/8/19 020691/32010017,12,"not related with filling machine, so no filling machine type",034556/31080296 030875/31010009/31070039/31080016 031557/32040012/31020034 020691/32010017,2022-08-19 00:00:00,250s,unavailable,unaccepted,improper transportation or storage by customer,"this is a slitting reel and without doctoring process, the reel went to packing line directly after slitting process, so there is low possibility that the core deformation happened before palletization in lamipak. the core deformation is so severe, so if this happened in lamipak warehouse or during transportation, there would be some impression or mark/damage on the outside packing layer, and customer should notice the abnormality before container unloading process. the shrink film was already removed and the reel surface is so dirty, it seems the reel was put in such condition for long time. based on the above points, it can be concluded that there is low possibility that the core deformation happened in lamipak side.",filling machine,filling machine,close,unavailable,"2024/6/24:ajas确认由于包材已经过期，所以无需赔付，和rajesh确认过后关掉此case。\""i have spoken rajat & rajesh we will ignore this claim. as the claim is for 2022 produced material. \"" 2024/6/14：和ajas确认提供赔付数量和金额",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-06 00:00:00,2024-03-06 00:00:00,0.0,2024-03-11 00:00:00,3.0,565.0,unavailable,unavailable,unavailable,unavailable,False,0.0
47,celina,0,mar,2024-03-06,nutricare,nutricare,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks auxiliary materials,raw_material_原材料,pp_strip_pp条,pp bobbin damagepp条的盘受损,食品安全类,万丰pp条的盘端面不平，客户反馈经常出现这种问题,2,"not related with filling machine, so no filling machine type",r23110260b2 reel no.:40#,2023-11-02 00:00:00,wf strip,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"customer feedback that there is only one reel deformation. if there is any deformation during the supplier's production process, adjacent reels will also deform, and operators already tested. 客户反馈只有一卷变型。供应商生产过程中如果有变型，相邻卷也会变型，且员工有检测。",filling machine,filling machine,close,unavailable,客户已经消耗并通知不需要赔付，提醒我司今后注意,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1盘万丰pp条,unavailable,2024-03-07 00:00:00,2024-03-08 00:00:00,1.0,2024-03-08 00:00:00,2.0,125.0,unavailable,unavailable,unavailable,unavailable,False,0.0
48,celina,0,mar,2024-03-06,national foods egypt,national foods egypt,mea-中东及非洲,egypt,n,wafi mohamed ghali mohamed salem,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,26号栈板破损，导致12号栈板最上面卷破损，26号是摞在12号上的,13,"not related with filling machine, so no filling machine type",050217/31070089,2023-12-22 00:00:00,200s,unavailable,unaccepted,improper transportation or storage by customer,cif出货方式，货物越过出发港船舷即代表货物已交付。装车照显示货物都是完好状态。,filling machine,filling machine,close,unavailable,"2024-03-06 客户客诉26号栈板破损将12号栈板最上层的卷050217/31070089压坏，客户无卸车照。 1. 2024-03-06 customer feedback that the reel 050217/31070089 on the top of 12nd pallet was crushed by the damage of 26th pallet and without unloading picture. 2. 此票货物贸易方式是cif， 货物在装运港越过船舷时，卖方即完成交货。我司装车照显示货物完好。乐美导致破损的概率很低。现因 损失金额小于1000美金，在保险公司规定的免赔金额内，为了维护客户关系，故申请商务赔付。 the trade term for this shipment is cif, lamipak completes the delivery when the goods pass the ship's rail at the port of shipment. our loading photos show the goods are in good condition, it's low possibility to caused by lamipak. however, as the loss amount is less than $1000 and falls within the insurance company's deductible, so in order to maintain customer relations, we apply a commercial compensation.",我司出货照片显示栈板和包材良好。出货为cif,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-07 00:00:00,2024-03-19 00:00:00,pw202403001,16000,unavailable,2024-03-07 00:00:00,2024-03-08 00:00:00,1.0,2024-03-08 00:00:00,2.0,75.0,unavailable,unavailable,unavailable,unavailable,False,311.84
49,celina,0,mar,2024-03-07,pearl dairy,pearl dairy,mea-中东及非洲,uganda,n,sharma rajesh kumar,ks aseptic i,slitting_分切,appearance_分切外观,loose core 松卷,功能类,松卷 温度：20~28 湿度：48~60 9:40am剥除热缩膜，10:04am上机，12:10am用完,1,"not related with filling machine, so no filling machine type",044267/35040064,2023-07-30 00:00:00,500f,unavailable,feedback,unavailable,unavailable,production,slitting,close,unavailable,产品生产日期在我司2023年10月份fino改善之前生产：2023年10月份后所有fino都放在az7的机器生产，张力增大 报告已给销售，待销售确认客户端情况,pearl dairy客诉044267/35040064 松卷，温度：20~28， 湿度：48~60。 9:40am剥除热缩膜，10:04am上机，12:10am用完 乌干达的客户，产品是500f， 客户说这不是第一次发生松卷，是多次发生。,unavailable,unavailable,"卷边翘边外翻&内扣：包装线滚轮与滚轮纸卷如果高低不平，纸卷在运行的时候就会产生磕碰，磕碰会导致纸卷外翻或内卷。 松卷：fino订单放卷张力700-900n,收卷张力900-1100n。张力值稍小； 抽轴式分切机单轴收卷，张力分配会有不均匀； 暂存纸管芯的环境温湿度变化会导致纸管芯水份含量变化，进而影响卷材的紧固程度；",unavailable,分切机&诊病机更新fino订单的张力设定标准/fino订单指定在夹臂式分切机分切/更换粘力更好的胶带/core水分提前释放,胡正朋/甄具/胡正朋/胡正朋,20230821/20231015/20240331/20231012,unavailable,20240421-0436,unavailable,unavailable,unavailable,23000,unavailable,2024-03-08 00:00:00,2024-03-08 00:00:00,0.0,2024-03-26 00:00:00,13.0,221.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
50,celina,0,mar,2024-03-07,coca-cola philippines,coca-cola philippines,eu-欧洲区,philippines,y,赵围围 (anna zhao),ks paper straw,raw_material_原材料,straw_吸管,paper straw 纸吸管,上机匹配性,2箱纸吸管首尾没有胶带标识； 标签上没有显示可适配的包型，客户产线操作员易取错箱子,2,"not related with filling machine, so no filling machine type",041978（00）133; 041978（00）073;,2023-05-25 00:00:00,paper straw,unavailable,feedback,unavailable,unavailable,paper straw,paper straw,close,unavailable,报告已发工程师,报告已发工程师,unavailable,unavailable,人员在收尾工作时，疏忽导致没有张贴标签,unavailable,标准化操作培训培训员工，作业手法，统一标准化操作，避免因疏忽导致问题的发生/防呆法：针对首尾标签容易忽视的关键点，进行印章自检,付东坡/付东坡,20240307/20240307,unavailable,20240421-0437,unavailable,unavailable,unavailable,2箱没有首位标识47000*2=94000,unavailable,2024-03-07 00:00:00,2024-03-20 00:00:00,9.0,2024-04-01 00:00:00,17.0,287.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
51,celina,0,mar,2024-03-07,idp cuchi,idp cuchi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,slitting_分切,appearance_分切外观,winding misalignment 绕卷不齐,上机匹配性,3个卷从卷外数，接头之后50~60包处，包材凸出断面导致边打皱，每卷切除250包，共切除750包,2,"not related with filling machine, so no filling machine type",052111/33040004; 052111/33050005; 052111/33060006;,2024-02-07 00:00:00,200s,unavailable,claim,unavailable,unavailable,production,slitting,close,unavailable,idp年底统一赔付客户,分切接头处绕卷不齐造成，机长判断失误,unavailable,unavailable,1.人员未检查（排除此可能，通过监控视频回放，操作员有检查的动作） 2.机长判定不准确 3.机长判定失误后，没有好的方法再次检查确认,unavailable,下卷检查纸卷外观已纳入质量控制规范内，再次全员培训质量控制规范/针对不同种类的绕卷不齐，模拟制作出实物，所有人现场做实物培训/上线异物检测系统，将绕卷不齐后导致纸边压伤的照片维护进系统，系统自动检测报警/成立解决绕卷不齐的a3小组，解决各机台绕卷不齐问题,胡正朋/胡正朋/孔丹丹/张安海&饶海林&胡正朋,20240304--20240313/20240308/20240730/20240430,unavailable,20240617-0455,unavailable,unavailable,unavailable,750,unavailable,2024-03-07 00:00:00,2024-03-10 00:00:00,1.0,2024-03-11 00:00:00,2.0,29.0,unavailable,unavailable,unavailable,unavailable,False,210.0
52,coco,0,mar,2024-03-08,sarvada distilleries,sarvada distilleries,isu-印度沙特阿联酋,india,n,srinivasa rao pavankumar,ks aseptic i,during_filling_灌装中,integrity_完整性,other leakage 其他类型漏包,功能类,ts crack & conditivity +ve,2,bihai 100b,051466,2024-01-03 00:00:00,100b,unavailable,unaccepted,reconfirm by service engineer,"厂内调查无异常，改用牛卡纸做新订单出给客户后未发现问题。there were no abnormalities found in the factory investigation, and no problems were found after using unbleached paper to create new orders for customers.",filling machine,filling machine,close,y,2024/6/6：已经改用牛卡纸做新订单出给客户，无更多问题反馈，跟销售确认后close此case。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-08 00:00:00,2024-03-08 00:00:00,0.0,2024-03-08 00:00:00,0.0,65.0,unavailable,unavailable,unavailable,unavailable,False,0.0
53,celina,0,mar,2024-03-11,progress,progress,cis-俄语区,russia,n,serov ilya,ks auxiliary materials,raw_material_原材料,ls_strip_纵封条,ls strip length 纵封条米长,物理指标类,mf pp条短缺，净重不足1.98kg，称出来一盘1.837kg，一盘1.87kg,1,"not related with filling machine, so no filling machine type",po013725 卷号：r23102605a2,2023-10-26 00:00:00,wf strip,unavailable,feedback,unavailable,unavailable,r&d,r&d,close,unavailable,已经说明提供给销售，研发确认8月31号后起所有pp条上标签的净重改为1.85，之前以重量售卖的地区改为以盘售卖，而非以公斤计价,历史遗留问题，2014年我司引入佛山条确实是1.98kg的净重，后续因导入万丰和德源条净重不足1.98，但是因为此时一些客户已经以公斤计价，改标签上的净重会导致历史上已出货的客户都俩索赔，不贴净重又不符合中国海关出口规范； 2023-03-20：已经说明提供给销售。 20230329：hi eric，上上周nicole和宋总开会的会议记录上有这条，就是看看以后能不能 改成以盘计价的方式。 需要你  安东  销售 it一起开会捏。 下周再开会的时候宋总会问进展的，帮忙先定下会议来时间 20230517：研发确认8月31号后起所有pp条上标签的净重改为1.85，之前以重量售卖的地区改为以盘售卖，而非以公斤计价，并告知销售目前客诉的pp条不会赔付给客户的。,unavailable,unavailable,1.we sell the ls strip to some customers by weight.  2 the price per 1 kg which we quote to customer is calculated based on the price of each reel of ls strip.,unavailable,pp条标签上重量更改为1.85kg，单盘的售价不变,吕小军,20240831,unavailable,20240421-0439,unavailable,unavailable,unavailable,无法估计,unavailable,2024-03-11 00:00:00,2024-03-14 00:00:00,3.0,2024-03-20 00:00:00,7.0,137.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
